Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
s60,r104,APPROVED,Not Applicable,2024-07-02T12:14:56.771000Z,2024-07-02T12:27:28.703000Z,2024-07-02T12:30:01.038000Z,2024-07-02T12:30:03.096256Z,752,CB1VAZXU,3253,67,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
s61,r36,APPROVED,Not Applicable,2024-07-02T13:45:16.076000Z,2024-07-02T13:49:17.792000Z,2024-07-02T13:52:02.786000Z,2024-07-02T13:50:49.372465Z,242,CB1VAZXU,2988,58,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
s62,r90,APPROVED,Not Applicable,2024-07-02T13:49:44.780000Z,2024-07-02T13:52:57.745000Z,2024-07-02T13:53:01.549000Z,2024-07-02T13:54:56.776689Z,193,CB1VAZXU,4246,35,Male,White,United States,United States,United States,English,No,Full-Time
s63,r49,APPROVED,Not Applicable,2024-07-02T13:53:44.676000Z,2024-07-02T13:56:36.106000Z,2024-07-02T13:56:38.818000Z,2024-07-02T13:56:37.138007Z,172,CB1VAZXU,516,26,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
s64,r107,APPROVED,Not Applicable,2024-07-02T14:52:41.560000Z,2024-07-02T14:57:02.408000Z,2024-07-02T14:58:25.256000Z,2024-07-02T14:58:20.551594Z,261,CB1VAZXU,3554,21,Female,White,United States,United States,United States,English,Yes,Part-Time
s65,r61,APPROVED,Not Applicable,2024-07-02T15:30:08.023000Z,2024-07-02T15:36:06.952000Z,2024-07-02T15:36:07.796000Z,2024-07-02T15:37:04.382446Z,359,CB1VAZXU,1077,41,Male,White,United States,United States,United States,English,No,Full-Time
s66,r20,APPROVED,Not Applicable,2024-07-02T15:30:36.444000Z,2024-07-02T15:33:21.437000Z,2024-07-02T15:34:18.470000Z,2024-07-02T15:34:25.093628Z,165,CB1VAZXU,319,44,Female,Asian,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
s67,r52,APPROVED,Not Applicable,2024-07-02T15:34:13.065000Z,2024-07-02T15:38:18.608000Z,2024-07-02T15:38:20.613000Z,2024-07-02T15:38:21.448293Z,246,CB1VAZXU,235,42,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
s68,r72,APPROVED,Not Applicable,2024-07-02T15:56:53.587000Z,2024-07-02T16:00:22.417000Z,2024-07-02T16:00:26.099000Z,2024-07-02T16:00:24.334978Z,209,CB1VAZXU,252,34,Female,White,United States,United States,United States,English,No,Full-Time
s69,r134,APPROVED,Not Applicable,2024-07-02T16:03:35.152000Z,2024-07-02T16:15:14.836000Z,2024-07-02T16:16:21.756000Z,2024-07-02T16:15:48.117133Z,700,CB1VAZXU,116,42,Male,Black,Nigeria,United States,Nigeria,English,Yes,Full-Time
